,URL,menu hp,Name on menu,Function page (for D),kw,sv,metat
,,,,,,,
it0,,hp,Home,homepage,,,
,,,,,,,
it11,,Lezioni e Servizi,Tedesco,German private lesson,(lezioni private di) tedesco a berlino,10,
it12,,,Italiano per adulti,italian private lesson,,,
it13,,,Italiano per bambini,italian lesson kids,italiano a berlino (per bambini),170,
it14,,,Consulenza linguistica,linguistic consulence ,-,,
,,,,,,,
it21,,Scrittura ,Ottimizzazione SEO in italiano,SEO Optimization,testi seo,90,
it22,,,Scrittura contenuti,Content writing and correcting,blog seo,30,seo per blog
,,,,,,,
it31,,Prezzi,Prezzi delle lezioni,price lessons,-,,
it32,,,Prezzi scrittura testi,price writing ,-,,
it33,,,Chiedi un preventivo,ask for a cost estimation,-,,
,,,,,,,
it41,,Chi siamo ,La nostra Vision,why?,-,,
it42,,,Chi siamo,chi siamo founder ,-,,
,,,,,,,
it5,,blog,Blog,Blog,quanto tempo per imparare tedesco?,10,
,,,,,,,
it6,,contattaci,Contatti,Contact,,,
